u_id,fatals,a_ct,a_ped_f,a_pedal_f,a_roll,a_hr,a_polpur,month,day,day_week,hour,minute,a_dow_type,a_tod_type,state,a_region,a_ru,a_inter,a_intsec,a_roadfc,a_junc,a_relrd,age,permvit,pernotmvit,a_ped,mod_year,a_body,owner,deaths,numoccs,impact1,deformed,ve_forms,ve_total,weather,lgt_cond,driver_factor
32083,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,10,2,tue,3.0,10.0,Weekday,Nighttime,Georgia,"Alabama, Florida, Georgia, South Carolina, Tennessee",Rural,Non-Interstate,Non-Intersection,Minor Collector,Non-Junction,Off Roadway/Other,62,1,0,no,2003.0,Light Conventional Trucks,Driver (in this crash) Was Registered Owner,1,1.0,Clockpoint 12,Disabling damage,1,1,Clear,Dark - not lighted,other
55073,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,6,21,wed,8.0,45.0,Weekday,Daytime,Arkansas,"Arkansas, Iowa, Kansas, Missouri, Nebraska",Rural,Non-Interstate,Non-Intersection,Minor Arterial,Non-Junction,Off Roadway/Other,40,1,0,no,2002.0,Utility Vehicles,Driver (in this crash) Not Registered Owner (other private owner listed),1,1.0,Clockpoint 1,Disabling damage,1,1,Clear,Daylight,speeding_driver_involved
7458,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,7,14,thu,21.0,45.0,Weekday,Nighttime,Washington,"Alaska, Idaho, Montana, Oregon, Washington",Rural,Non-Interstate,Non-Intersection,Major Collector,Non-Junction,On Roadway,26,1,1,no,2003.0,Light Conventional Trucks,Driver (in this crash) Was Registered Owner,0,1.0,Clockpoint 12,,1,1,Clear,Daylight,other
5685,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,9,15,fri,20.0,46.0,Weekday,Nighttime,Kentucky,"Delaware, District of Columbia, Kentucky, Maryland, North Carolina, Virginia, West Virginia",Urban,Non-Interstate,Intersection,Principal Arterial – Other,Junction,On Roadway,64,1,1,no,1999.0,Automobiles,Driver (in this crash) Not Registered Owner (other private owner listed),0,1.0,Clockpoint 12,Functional damage,1,1,Clear,Dark - not lighted,other
9245,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,9,28,fri,20.0,24.0,Weekday,Nighttime,Wisconsin,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin",Rural,Non-Interstate,Non-Intersection,Major Collector,Non-Junction,Off Roadway/Other,45,1,0,no,1996.0,Automobiles,Driver (in this crash) Was Registered Owner,1,1.0,Clockpoint 9,Disabling damage,1,1,Clear,Dark - not lighted,drunk_driver_involved
55058,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,8,28,mon,12.0,35.0,Weekday,Daytime,Louisiana,"Louisiana, Mississippi, New Mexico, Oklahoma, Texas",Rural,Non-Interstate,Non-Intersection,Minor Arterial,Non-Junction,Off Roadway/Other,79,1,0,no,2007.0,Light Conventional Trucks,Driver (in this crash) Was Registered Owner,1,1.0,Clockpoint 12,Disabling damage,1,1,Clear,Daylight,other
37846,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,3,13,mon,7.0,24.0,Weekday,Daytime,Kentucky,"Delaware, District of Columbia, Kentucky, Maryland, North Carolina, Virginia, West Virginia",Rural,Non-Interstate,Non-Intersection,Principal Arterial – Other,Non-Junction,Off Roadway/Other,17,1,0,no,2002.0,Light Conventional Trucks,Driver (in this crash) Not Registered Owner (other private owner listed),1,1.0,Left,Functional damage,1,1,Clear,Daylight,other
38215,1,Single-Vehicle Crash,Pedestrian Fatality Involved Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,2,4,sat,3.0,57.0,Weekend,Nighttime,New York,"Connecticut, New Jersey, New York, Pennsylvania",Urban,Non-Interstate,Non-Intersection,Principal Arterial – Other,Other,On Roadway,24,1,1,yes,2011.0,Automobiles,Driver (in this crash) Was Registered Owner,0,1.0,Clockpoint 12,Disabling damage,1,1,Clear,Dark - lighted,speeding_driver_involved
11648,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,5,25,fri,8.0,43.0,Weekday,Daytime,Florida,"Alabama, Florida, Georgia, South Carolina, Tennessee",Urban,Non-Interstate,Non-Intersection,Minor Collector,Non-Junction,Off Roadway/Other,81,2,0,no,2000.0,Automobiles,Driver (in this crash) Was Registered Owner,1,2.0,Clockpoint 12,Disabling damage,1,1,Cloudy,Daylight,other
21385,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,6,4,sat,11.0,16.0,Weekend,Daytime,Nebraska,"Arkansas, Iowa, Kansas, Missouri, Nebraska",Rural,Non-Interstate,Intersection,Major Collector,Junction,Off Roadway/Other,54,1,0,no,2003.0,"Motorcycles, Mopeds, All-Terrain Vehicles; All-Terrain Cycles","Not Applicable, Vehicle Not Registered",1,1.0,Clockpoint 12,Disabling damage,1,1,Clear,Daylight,speeding_driver_involved
54228,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,6,18,sun,0.0,11.0,Weekend,Nighttime,California,"Arizona, California, Hawaii",Urban,Non-Interstate,Non-Intersection,Minor Arterial,Non-Junction,Off Roadway/Other,26,1,0,no,1989.0,"Motorcycles, Mopeds, All-Terrain Vehicles; All-Terrain Cycles",Vehicle Was Stolen (reported by police),1,1.0,,Functional damage,1,1,Clear,Dark - lighted,drunk_driver_involved
29936,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,9,18,mon,16.0,24.0,Weekday,Daytime,Kentucky,"Delaware, District of Columbia, Kentucky, Maryland, North Carolina, Virginia, West Virginia",Rural,Non-Interstate,Non-Intersection,Minor Arterial,Non-Junction,Off Roadway/Median,61,1,0,no,2008.0,"Motorcycles, Mopeds, All-Terrain Vehicles; All-Terrain Cycles",Driver (in this crash) Was Registered Owner,1,1.0,Non-Collision,Disabling damage,1,1,Clear,Daylight,other
21651,1,Single-Vehicle Crash,Other Crash,Other Crash,Rollover Involved Crash,No - Hit and Run,Other Crash,4,21,sat,8.0,3.0,Weekend,Daytime,Texas,"Louisiana, Mississippi, New Mexico, Oklahoma, Texas",Rural,Non-Interstate,Non-Intersection,Minor Collector,Non-Junction,Off Roadway/Other,30,1,0,no,2000.0,Light Conventional Trucks,Driver (in this crash) Was Registered Owner,1,1.0,,Disabling damage,1,1,Clear,Daylight,other
51027,1,Single-Vehicle Crash,Pedestrian Fatality Involved Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,10,24,mon,2.0,57.0,Weekday,Nighttime,Missouri,"Arkansas, Iowa, Kansas, Missouri, Nebraska",Urban,Interstate,Non-Intersection,Interstate,Non-Junction,On Roadway,32,4,1,yes,2012.0,Van-Based Light Trucks,Vehicle Registered as Business/Company/Government Vehicle,0,4.0,Clockpoint 12,Disabling damage,1,1,Clear,Dark - lighted,other
5053,1,Single-Vehicle Crash,Other Crash,Other Crash,Rollover Involved Crash,No - Hit and Run,Other Crash,9,4,tue,14.0,59.0,Weekday,Daytime,Texas,"Louisiana, Mississippi, New Mexico, Oklahoma, Texas",Rural,Non-Interstate,Non-Intersection,Principal Arterial – Other,Non-Junction,Off Roadway/Other,35,2,0,no,2013.0,Automobiles,Driver (in this crash) Was Registered Owner,1,2.0,Clockpoint 1,Disabling damage,1,1,Clear,Daylight,other
25639,1,Single-Vehicle Crash,Other Crash,Other Crash,Rollover Involved Crash,No - Hit and Run,Other Crash,3,15,thu,6.0,28.0,Weekday,Daytime,Alabama,"Alabama, Florida, Georgia, South Carolina, Tennessee",Urban,Non-Interstate,Non-Intersection,Major Collector,Non-Junction,Off Roadway/Other,59,1,0,no,2002.0,Light Conventional Trucks,Driver (in this crash) Not Registered Owner (other private owner listed),1,1.0,Clockpoint 12,Disabling damage,1,1,Clear,Daylight,other
38798,1,Single-Vehicle Crash,Other Crash,Other Crash,Rollover Involved Crash,No - Hit and Run,Other Crash,4,3,sun,14.0,50.0,Weekend,Daytime,Kansas,"Arkansas, Iowa, Kansas, Missouri, Nebraska",Rural,Non-Interstate,Non-Intersection,Minor Arterial,Non-Junction,Off Roadway/Other,22,1,0,no,2004.0,Automobiles,Driver (in this crash) Was Registered Owner,1,1.0,Non-Collision,Disabling damage,1,1,,Daylight,other
24383,1,Single-Vehicle Crash,Pedestrian Fatality Involved Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,6,17,sat,23.0,25.0,Weekend,Nighttime,Missouri,"Arkansas, Iowa, Kansas, Missouri, Nebraska",Urban,Non-Interstate,Non-Intersection,Major Collector,Non-Junction,On Roadway,21,2,1,yes,2002.0,Automobiles,Driver (in this crash) Was Registered Owner,0,2.0,Clockpoint 12,Disabling damage,1,1,Cloudy,Dark - not lighted,other
30262,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,6,14,thu,2.0,0.0,Weekday,Nighttime,Alabama,"Alabama, Florida, Georgia, South Carolina, Tennessee",Rural,Non-Interstate,Non-Intersection,Minor Arterial,Non-Junction,Off Roadway/Other,60,1,0,no,2000.0,Utility Vehicles,Driver (in this crash) Not Registered Owner (other private owner listed),1,1.0,Clockpoint 2,Disabling damage,1,1,Clear,Dark - not lighted,other
1308,1,Single-Vehicle Crash,Pedestrian Fatality Involved Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,1,27,wed,19.0,54.0,Weekday,Nighttime,California,"Arizona, California, Hawaii",Urban,Non-Interstate,Intersection,Minor Arterial,Junction,On Roadway,71,1,1,yes,1995.0,Van-Based Light Trucks,Driver (in this crash) Was Registered Owner,0,1.0,Clockpoint 12,Functional damage,1,1,Clear,Dark - lighted,other
26515,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,6,3,fri,7.0,39.0,Weekday,Daytime,North Carolina,"Delaware, District of Columbia, Kentucky, Maryland, North Carolina, Virginia, West Virginia",Rural,Non-Interstate,Non-Intersection,Principal Arterial – Other,Non-Junction,Off Roadway/Other,30,1,0,no,2004.0,Other Vehicles,Driver (in this crash) Was Registered Owner,1,1.0,Clockpoint 12,Disabling damage,1,1,Clear,Daylight,drunk_driver_involved
24675,1,Single-Vehicle Crash,Pedestrian Fatality Involved Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,12,16,fri,20.0,28.0,Weekday,Nighttime,New Jersey,"Connecticut, New Jersey, New York, Pennsylvania",Urban,Non-Interstate,Intersection,Minor Arterial,Junction,On Roadway,21,1,2,yes,2010.0,Automobiles,Driver (in this crash) Not Registered Owner (other private owner listed),0,1.0,Clockpoint 11,,1,1,Clear,Dark - lighted,other
33860,1,Single-Vehicle Crash,Pedestrian Fatality Involved Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,9,8,fri,0.0,28.0,Weekday,Nighttime,Georgia,"Alabama, Florida, Georgia, South Carolina, Tennessee",Urban,Non-Interstate,Non-Intersection,Minor Arterial,Non-Junction,On Roadway,50,2,1,yes,2006.0,Automobiles,Driver (in this crash) Was Registered Owner,0,2.0,Clockpoint 12,Functional damage,1,1,Clear,Dark - not lighted,other
10866,1,Single-Vehicle Crash,Other Crash,Other Crash,Rollover Involved Crash,No - Hit and Run,Other Crash,12,23,sun,1.0,47.0,Weekend,Nighttime,Georgia,"Alabama, Florida, Georgia, South Carolina, Tennessee",Urban,Non-Interstate,Intersection,Principal Arterial – Other,Junction,Off Roadway/Other,35,2,0,no,2008.0,Utility Vehicles,Driver (in this crash) Was Registered Owner,1,2.0,Clockpoint 12,Disabling damage,1,1,Cloudy,Dark - lighted,drunk_driver_involved
22171,1,Single-Vehicle Crash,Other Crash,Other Crash,Rollover Involved Crash,No - Hit and Run,Other Crash,10,7,sat,11.0,44.0,Weekend,Daytime,Washington,"Alaska, Idaho, Montana, Oregon, Washington",Urban,Interstate,Non-Intersection,Interstate,Non-Junction,Off Roadway/Other,24,4,0,no,2007.0,Automobiles,Driver (in this crash) Not Registered Owner (other private owner listed),1,4.0,Rigt,,1,1,Clear,Daylight,other
4470,1,Single-Vehicle Crash,Other Crash,Other Crash,Rollover Involved Crash,No - Hit and Run,Other Crash,2,27,tue,9.0,40.0,Weekday,Daytime,New York,"Connecticut, New Jersey, New York, Pennsylvania",Urban,Non-Interstate,Intersection,Minor Arterial,Junction,Off Roadway/Other,70,1,0,no,2007.0,Automobiles,Driver (in this crash) Was Registered Owner,1,1.0,Left-front side,,1,1,Clear,Daylight,drunk_driver_involved
39527,1,Single-Vehicle Crash,Other Crash,Pedalcyclist Fatality Involved Crash,Other Crash,No - Hit and Run,Other Crash,9,25,sun,20.0,0.0,Weekend,Nighttime,Florida,"Alabama, Florida, Georgia, South Carolina, Tennessee",Urban,Non-Interstate,Intersection,Major Collector,Junction,On Roadway,53,1,1,no,2007.0,Light Conventional Trucks,Driver (in this crash) Was Registered Owner,0,1.0,Clockpoint 12,Disabling damage,1,1,Clear,Dark - lighted,other
25470,1,Single-Vehicle Crash,Pedestrian Fatality Involved Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,9,29,fri,6.0,21.0,Weekday,Daytime,Texas,"Louisiana, Mississippi, New Mexico, Oklahoma, Texas",Urban,Non-Interstate,Intersection,Minor Arterial,Junction,On Roadway,25,1,1,yes,2000.0,Light Conventional Trucks,Driver (in this crash) Not Registered Owner (other private owner listed),0,1.0,Clockpoint 12,Disabling damage,1,1,Rain,Daylight,other
53725,1,Single-Vehicle Crash,Other Crash,Pedalcyclist Fatality Involved Crash,Other Crash,No - Hit and Run,Other Crash,4,6,fri,7.0,0.0,Weekday,Daytime,Mississippi,"Louisiana, Mississippi, New Mexico, Oklahoma, Texas",Urban,Non-Interstate,Non-Intersection,Principal Arterial – Other,Non-Junction,On Roadway,21,1,1,no,1983.0,Automobiles,Driver (in this crash) Not Registered Owner (other private owner listed),0,1.0,Clockpoint 12,Functional damage,1,1,Rain,Dark - unknown lighting,other
55119,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,9,1,sat,2.0,25.0,Weekend,Nighttime,Oregon,"Alaska, Idaho, Montana, Oregon, Washington",Urban,Non-Interstate,Non-Intersection,Principal Arterial – Other,Non-Junction,Off Roadway/Other,20,1,0,no,2000.0,Automobiles,Driver (in this crash) Was Registered Owner,1,1.0,,Disabling damage,1,1,,Dark - not lighted,speeding_driver_involved
45430,1,Single-Vehicle Crash,Other Crash,Other Crash,Rollover Involved Crash,No - Hit and Run,Other Crash,4,18,tue,0.0,21.0,Weekday,Nighttime,Georgia,"Alabama, Florida, Georgia, South Carolina, Tennessee",Rural,Non-Interstate,Non-Intersection,Minor Collector,Non-Junction,Off Roadway/Other,25,1,0,no,2006.0,Automobiles,Driver (in this crash) Not Registered Owner (other private owner listed),1,1.0,Non-Collision,Disabling damage,1,1,Clear,Dark - not lighted,other
23020,1,Single-Vehicle Crash,Other Crash,Other Crash,Other Crash,No - Hit and Run,Other Crash,5,27,fri,13.0,41.0,Weekday,Daytime,Michigan,"Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin",Urban,Interstate,Non-Intersection,Interstate,Non-Junction,Off Roadway/Other,41,1,0,no,2003.0,Automobiles,Driver (in this crash) Was Registered Owner,1,1.0,,Disabling damage,1,1,Clear,Daylight,speeding_driver_involved
